List,Order,Item,Context,Box,Gender,Condition,BoxName,GenderName,FirstDisplay,SecondDisplay
1,0,P3,香肠上方的男人在三号位。,1,,,,,stimuli/P3_1.jpg,stimuli/P3_2.jpg
1,1,P1,行李箱旁边的溜冰鞋在一号位。,2,,,,,stimuli/P1_1.jpg,stimuli/P1_2.jpg
1,2,P1,游泳运动员在电钻的下方。,1,,,,,stimuli/Filler1.jpg,stimuli/Filler2.jpg
1,3,P2,葡萄旁边的猴子在二号位。,2,,,,,stimuli/P2_1.jpg,stimuli/P2_2.jpg
1,4,P4,钢琴和外套上方的女人在一号位。,1,,,,,stimuli/P4_1.jpg,stimuli/P4_2.jpg
1,5,X09,快递员和手在同一排。,2,,,,,stimuli/X09_9_1.jpg,stimuli/X09_9_2.jpg
1,6,P6,服务员在五号位，烟斗的下方。,1,,,,,stimuli/P6_1.jpg,stimuli/P6_2.jpg
1,7,X62,老师在五号位。,1,,,,,stimuli/X62_9_1.jpg,stimuli/X62_9_2.jpg
1,8,22,男孩下方的爷爷在四号位。,2,0,1,two boxes,match,stimuli/E22_1_1.jpg,stimuli/E22_1_2.jpg
1,9,X20,钻石在地球的旁边。,2,,,,,stimuli/X20_9_1.jpg,stimuli/X20_9_2.jpg
1,10,X41,五号位上有一个头盔。,1,,,,,stimuli/X41_9_1.jpg,stimuli/X41_9_2.jpg
1,11,25,国王下方的妖精在四号位。,1,1,4,one box,mismatch,stimuli/E25_4_1.jpg,stimuli/E25_4_2.jpg
1,12,P5,手推车下方的拖拉机在四号位。,2,,,,,stimuli/P5_1.jpg,stimuli/P5_2.jpg
1,13,37,新郎旁边的剃头匠在三号位。,1,0,3,one box,match,stimuli/E37_3_1.jpg,stimuli/E37_3_2.jpg
1,14,X69,医生和仓鼠在锅的上方，锅在四号位。,1,,,,,stimuli/X69_9_1.jpg,stimuli/X69_9_2.jpg
1,15,24,王子旁边的收银员在二号位。,2,1,2,two boxes,mismatch,stimuli/E24_2_1.jpg,stimuli/E24_2_2.jpg
