List,Order,Item,Context,Box,Gender,Condition,BoxName,GenderName,FirstDisplay,SecondDisplay,Hint
1,0,P3,香肠上方的男人在三号位。,,,,,,P3_1.jpg,P3_2.jpg,现在在四号位。/现在他在四号位。/现在男人在四号位。
1,1,P1,行李箱旁边的溜冰鞋在一号位。,,,,,,P1_1.jpg,P1_2.jpg,现在在五号位。/现在它在五号位。/现在溜冰鞋在五号位。
1,2,P1,游泳运动员在电钻的下方。,,,,,,Filler1.jpg,Filler2.jpg,现在在四号位。/现在她在四号位。/现在游泳运动员在四号位。
1,3,P2,葡萄旁边的猴子在二号位。,,,,,,P2_1.jpg,P2_2.jpg,现在在一号位。/现在它在一号位。/现在猴子在一号位。
1,4,P4,钢琴和外套上方的女人在一号位。,,,,,,P4_1.jpg,P4_2.jpg,现在在三号位。/现在她在三号位。/现在女人在三号位。
2,0,P3,香肠上方的男人在三号位。,,,,,,P3_1.jpg,P3_2.jpg,现在在四号位。/现在他在四号位。/现在男人在四号位。
2,1,P1,行李箱旁边的溜冰鞋在一号位。,,,,,,P1_1.jpg,P1_2.jpg,现在在五号位。/现在它在五号位。/现在溜冰鞋在五号位。
2,2,P1,游泳运动员在电钻的下方。,,,,,,Filler1.jpg,Filler2.jpg,现在在四号位。/现在她在四号位。/现在游泳运动员在四号位。
2,3,P2,葡萄旁边的猴子在二号位。,,,,,,P2_1.jpg,P2_2.jpg,现在在一号位。/现在它在一号位。/现在猴子在一号位。
2,4,P4,钢琴和外套上方的女人在一号位。,,,,,,P4_1.jpg,P4_2.jpg,现在在三号位。/现在她在三号位。/现在女人在三号位。
3,0,P3,香肠上方的男人在三号位。,,,,,,P3_1.jpg,P3_2.jpg,现在在四号位。/现在他在四号位。/现在男人在四号位。
3,1,P1,行李箱旁边的溜冰鞋在一号位。,,,,,,P1_1.jpg,P1_2.jpg,现在在五号位。/现在它在五号位。/现在溜冰鞋在五号位。
3,2,P1,游泳运动员在电钻的下方。,,,,,,Filler1.jpg,Filler2.jpg,现在在四号位。/现在她在四号位。/现在游泳运动员在四号位。
3,3,P2,葡萄旁边的猴子在二号位。,,,,,,P2_1.jpg,P2_2.jpg,现在在一号位。/现在它在一号位。/现在猴子在一号位。
3,4,P4,钢琴和外套上方的女人在一号位。,,,,,,P4_1.jpg,P4_2.jpg,现在在三号位。/现在她在三号位。/现在女人在三号位。
4,0,P3,香肠上方的男人在三号位。,,,,,,P3_1.jpg,P3_2.jpg,现在在四号位。/现在他在四号位。/现在男人在四号位。
4,1,P1,行李箱旁边的溜冰鞋在一号位。,,,,,,P1_1.jpg,P1_2.jpg,现在在五号位。/现在它在五号位。/现在溜冰鞋在五号位。
4,2,P1,游泳运动员在电钻的下方。,,,,,,Filler1.jpg,Filler2.jpg,现在在四号位。/现在她在四号位。/现在游泳运动员在四号位。
4,3,P2,葡萄旁边的猴子在二号位。,,,,,,P2_1.jpg,P2_2.jpg,现在在一号位。/现在它在一号位。/现在猴子在一号位。
4,4,P4,钢琴和外套上方的女人在一号位。,,,,,,P4_1.jpg,P4_2.jpg,现在在三号位。/现在她在三号位。/现在女人在三号位。
